city,date,rate
Chennai,2018-07-09,79.29
Chennai,2018-07-10,79.47
Chennai,2018-07-12,79.54
Chennai,2018-07-13,79.71
Chennai,2018-07-16,79.8
Chennai,2018-07-20,79.63
Chennai,2018-07-23,79.29
Chennai,2018-07-24,79.22
Chennai,2018-07-30,79.24
Chennai,2018-07-31,79.31
Chennai,2018-08-02,79.43
Chennai,2018-08-03,79.51
Chennai,2018-08-06,80.0
Chennai,2018-08-07,80.09
Chennai,2018-08-13,80.18
Chennai,2018-08-16,80.23
Chennai,2018-08-20,80.55
Chennai,2018-08-21,80.64
Chennai,2018-08-24,80.74
Chennai,2018-08-25,74.74
Chennai,2018-08-26,74.83
Chennai,2018-08-27,80.99
Chennai,2018-08-28,81.14
Chennai,2018-08-29,81.28
Chennai,2018-08-30,81.4
Chennai,2018-08-31,81.63
Chennai,2018-09-03,82.34
Chennai,2018-09-04,82.51
Chennai,2018-09-06,82.72
Chennai,2018-09-07,83.22
Chennai,2018-09-10,84.0
Chennai,2018-09-11,84.15
Chennai,2018-09-13,84.29
Chennai,2018-09-14,84.58
Chennai,2018-09-15,84.95
Chennai,2018-09-16,85.24
Chennai,2018-09-17,85.4
Chennai,2018-09-18,85.51
Chennai,2018-09-20,85.57
Chennai,2018-09-21,85.68
Chennai,2018-09-23,85.97
Chennai,2018-09-24,86.08
Chennai,2018-09-25,86.23
Chennai,2018-09-27,86.38
Chennai,2018-09-28,86.61
Chennai,2018-09-30,86.89
Chennai,2018-10-01,87.13
Chennai,2018-10-02,87.24
Chennai,2018-10-04,87.39
Chennai,2018-10-05,84.76
Chennai,2018-10-06,84.95
Chennai,2018-10-07,85.09
Chennai,2018-10-08,85.31
Chennai,2018-10-09,85.56
Chennai,2018-10-11,85.66
Chennai,2018-10-12,85.79
Chennai,2018-10-13,85.98
Chennai,2018-10-14,86.04
Chennai,2018-10-16,86.16
Chennai,2018-10-18,85.94
Chennai,2018-10-19,85.68
Chennai,2018-10-20,85.27
Chennai,2018-10-22,84.69
Chennai,2018-10-23,84.59
Chennai,2018-10-24,84.49
Chennai,2018-10-25,84.34
Chennai,2018-10-26,84.07
Chennai,2018-10-29,82.91
Chennai,2018-10-30,82.7
Chennai,2018-11-01,82.51
Chennai,2018-11-02,82.33
Chennai,2018-11-05,81.7
Chennai,2018-11-06,81.55
Chennai,2018-11-12,80.65
Chennai,2018-11-13,80.51
Chennai,2018-11-15,80.35
Chennai,2018-11-16,80.17
Chennai,2018-11-19,79.55
Chennai,2018-11-20,79.41
Chennai,2018-11-22,78.98
Chennai,2018-11-23,78.55
Chennai,2018-11-26,77.42
Chennai,2018-11-27,76.98
Chennai,2018-11-28,76.45
Chennai,2018-11-29,76.1
Chennai,2018-11-30,75.71
Chennai,2018-12-01,75.34
Chennai,2018-12-02,75.01
Chennai,2018-12-03,74.68
Chennai,2018-12-04,74.46
Chennai,2018-12-06,74.04
Chennai,2018-12-07,73.62
Chennai,2018-12-10,72.98
Chennai,2018-12-11,72.81
Chennai,2018-12-13,72.9
Chennai,2018-12-17,73.15
Chennai,2018-12-18,73.26
Chennai,2018-12-21,73.08
Chennai,2018-12-24,72.45
Chennai,2018-12-25,72.38
Chennai,2018-12-27,72.32
Chennai,2018-12-28,72.12
Chennai,2018-12-31,71.38
Chennai,2019-01-02,71.27
Chennai,2019-01-04,71.05
Chennai,2019-01-07,71.11
Chennai,2019-01-10,71.51
Chennai,2019-01-11,71.71
Chennai,2019-01-14,72.83
Chennai,2019-01-16,73.04
Chennai,2019-01-17,73.19
Chennai,2019-01-18,73.27
Chennai,2019-01-21,73.89
Chennai,2019-01-22,74.03
Chennai,2019-01-29,73.94
Chennai,2019-01-31,73.84
Chennai,2019-02-01,73.59
Chennai,2019-02-05,73.06
Chennai,2019-02-08,73.0
Chennai,2019-02-11,72.94
Chennai,2019-02-14,73.01
Chennai,2019-02-15,73.08
Chennai,2019-02-18,73.55
Chennai,2019-02-19,73.66
Chennai,2019-02-22,73.97
Chennai,2019-02-25,74.26
Chennai,2019-02-26,74.36
Chennai,2019-02-28,74.43
Chennai,2019-03-01,74.54
Chennai,2019-03-04,74.92
Chennai,2019-03-05,74.99
Chennai,2019-03-11,75.23
Chennai,2019-03-12,75.17
Chennai,2019-03-14,75.25
Chennai,2019-03-15,75.32
Chennai,2019-03-18,75.56
Chennai,2019-03-21,75.49
Chennai,2019-03-22,75.54
Chennai,2019-03-23,75.59
Chennai,2019-03-24,75.65
Chennai,2019-03-28,75.59
Chennai,2019-04-01,75.67
Chennai,2019-04-05,75.73
Chennai,2019-04-08,75.66
Chennai,2019-04-09,75.61
Chennai,2019-04-12,75.67
Chennai,2019-04-15,75.8
Chennai,2019-04-16,75.75
Chennai,2019-04-20,75.82
Chennai,2019-04-22,75.77
Chennai,2019-04-25,75.84
Chennai,2019-04-27,75.91
Chennai,2019-04-30,75.96
Chennai,2019-05-02,75.89
Chennai,2019-05-04,75.9
Chennai,2019-05-05,75.84
Chennai,2019-05-06,75.77
Chennai,2019-05-09,75.6
Chennai,2019-05-10,75.38
Chennai,2019-05-11,74.87
Chennai,2019-05-12,74.43
Chennai,2019-05-13,74.11
Chennai,2019-05-14,73.85
Chennai,2019-05-17,73.77
Chennai,2019-05-18,73.69
Chennai,2019-05-20,73.79
Chennai,2019-05-21,73.84
Chennai,2019-05-23,73.92
Chennai,2019-05-24,74.07
Chennai,2019-05-25,74.22
Chennai,2019-05-26,74.37
Chennai,2019-05-27,74.47
Chennai,2019-05-28,74.57
Chennai,2019-05-30,74.5
Chennai,2019-05-31,74.43
Chennai,2019-06-01,74.39
Chennai,2019-06-02,74.27
Chennai,2019-06-03,74.05
Chennai,2019-06-04,73.98
Chennai,2019-06-06,73.81
Chennai,2019-06-07,73.68
Chennai,2019-06-10,73.14
Chennai,2019-06-13,73.05
Chennai,2019-06-14,72.88
Chennai,2019-06-15,72.68
Chennai,2019-06-16,72.61
Chennai,2019-06-24,72.74
Chennai,2019-06-27,72.81
Chennai,2019-06-28,72.87
Chennai,2019-06-29,72.98
Chennai,2019-06-30,73.08
Chennai,2019-07-01,73.18
Chennai,2019-07-02,73.24
Chennai,2019-07-06,75.81
Chennai,2019-07-09,75.76
Chennai,2019-07-13,75.85
Chennai,2019-07-14,75.95
Chennai,2019-07-15,76.08
Chennai,2019-07-16,76.15
Chennai,2019-07-18,76.23
Chennai,2019-07-23,76.29
Chennai,2019-07-25,76.23
Chennai,2019-07-26,76.17
Chennai,2019-07-27,76.11
Chennai,2019-07-28,76.01
Chennai,2019-07-29,75.85
Chennai,2019-07-30,75.71
Chennai,2019-08-01,75.65
Chennai,2019-08-02,75.48
Chennai,2019-08-03,75.41
Chennai,2019-08-04,75.3
Chennai,2019-08-05,75.14
Chennai,2019-08-06,75.05
Chennai,2019-08-08,75.0
Chennai,2019-08-09,74.84
Chennai,2019-08-11,74.74
Chennai,2019-08-18,74.66
Chennai,2019-08-19,74.59
Chennai,2019-08-24,74.67
Chennai,2019-08-25,74.74
Chennai,2019-08-26,74.83
Chennai,2019-08-29,74.77
Chennai,2019-09-05,74.74
Chennai,2019-09-06,74.64
Chennai,2019-09-07,74.55
Chennai,2019-09-08,74.48
Chennai,2019-09-10,74.54
Chennai,2019-09-12,74.6
